"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/11/20 5:29 AM,"lalan kumar Gupta IAS Aspirant???","1157512637397135360","AmitShah","1447949844","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@AmitShah @narendramodi @NitishKumar @BJP4Bihar I am requesting the venerable Prime Minister Narendra Modi to announce only the candidate of the #only_BJP candidate in Bihar, #CM. And there should not be a NDA government (CM) in Bihar.?",,,0,"1326313560499134464"
11/11/20 5:29 AM,"lalan kumar Gupta IAS Aspirant???","1157512637397135360","RajatSharmaLive","122658025","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@RajatSharmaLive I am requesting the venerable Prime Minister Narendra Modi to announce only the candidate of the #only_BJP candidate in Bihar, #CM. And there should not be a NDA government (CM) in Bihar.?",,,0,"1326313461794529280"
11/11/20 5:28 AM,"#Sanjana?? 2.0","63399122",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","If Nitish Kumar has some moral values, he should come forward a d tell Modiji to make a BJP candidate CM of Bihar.",,,1,"1326313379942653953"
11/11/20 5:28 AM,"lalan kumar Gupta IAS Aspirant???","1157512637397135360","narendramodi","18839785","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@narendramodi @BJP4Bihar I am requesting the venerable Prime Minister Narendra Modi to announce only the candidate of the #only_BJP candidate in Bihar, #CM. And there should not be a NDA government (CM) in Bihar.?",,,0,"1326313308199260163"
11/11/20 5:27 AM,"lalan kumar Gupta IAS Aspirant???","1157512637397135360","iChiragPaswan","394101604","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@iChiragPaswan @narendramodi I am requesting the venerable Prime Minister Narendra Modi to announce only the candidate of the #only_BJP candidate in Bihar, #CM. And there should not be a NDA government (CM) in Bihar.?",,,0,"1326312993890529281"
11/11/20 5:27 AM,"k kumar rao","768701333322944512",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Saffron every where in Bihar. BJP Pulled Nitish Kumar to form Government. https://t.co/2WkeZSnLkS",,,0,"1326312951565881344"
11/11/20 5:25 AM,"Aditya Shrivastava","748224857624748032",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Kudos to another 5 years of misery Bihar.
#BiharElectionResults2020 
Ffs cant wait for the day when BJP will be thrown in the mud.",,,0,"1326312660019806208"
11/11/20 5:25 AM,"Muralidhar Rao","48942282","murali772","48942282","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","#Congress won just a dismal 19 seats out of the 70 it contested, compared to 75 it's #Mahagatbandan partner #RJD won (higher than even #BJP) in the #Bihar elections. Elsewhere too #Congress has fared poorly. #Congress's revival is a must, and for that, #Raga has to quit.",,,0,"1326312452225560577"
11/11/20 5:24 AM,"B. T. Amar Rahey?","906472343857328128",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bihar election campaign.
RG : China has entered into India 1200 Kilometers!
So BJP + got 125 seats, if RG would have said China entered into india 12.000 Kilometers BJP + would have got 180 seats! 
Bcz RG doesn't talk in normal senses! 
RG BJP's star campaigner!",,,0,"1326312224986595328"
11/11/20 5:24 AM,"Anish Kumar","1264552368378507266","TheRockingStar3","1281428006334955521","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@TheRockingStar3 @BDUTT BJP has got vote only because majority of people in bihar still not want Lalu family to rule again in Bihar. We have not yet forgotten those 15 years of gundaraj and no development.",,,0,"1326312224944742400"
