"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/11/20 10:22 AM,"ANI","355989081",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Bihar: Posters put up outside BJP office in Patna after NDA registered a victory in #BiharElections 

NDA won 125 seats in the state Assembly Polls (BJP 74, JDU 43, VIP 4 and HAM 4) https://t.co/HsihiFUhYH",,,93,"1326387301409304579"
11/11/20 6:57 AM,"ANI","355989081",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Bihar: Posters put up in Patna following the victory of CM Nitish Kumar led NDA in the state. 

NDA won 125 seats of which 74 & 43 seats have been won by BJP & JDU, respectively. https://t.co/NKNNRhKWid",,,92,"1326335635376861185"
11/11/20 1:10 AM,"Aditya Raj Kaul","44425241",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","Bihar poll results have important lessons:

Rahul Gandhi should learn from young Tajaswi Yadav. He gave a tough fight to BJP. Congress is sinking further.

Modi has impact. Yet BJP can’t get a landslide win with JDU.

JDU at its weakest in years.

Owaisi can’t be simply ignored.",,,161,"1326248426493808640"
11/12/20 5:28 AM,"India News Live","1251854839832690689",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","Bihar Assembly election 2020: Nitish Kumar’s JD(U) wins this seat by only 12 votes – Read details https://t.co/4l3bKnB5kS",,,0,"1326675824397922316"
11/12/20 5:18 AM,"Santosh Singh","1512202530",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","JDU tally lowest in 15 yrs, Nitish ‘unwilling’ but BJP persuades him to stay Bihar CM https://t.co/ieTstBmBo0 via @IndianExpress",,,0,"1326673181390745602"
11/12/20 5:04 AM,"S.sundararajan","1158822192",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","https://t.co/2dAIGYMt4A But I have a gut feeling @NitishKumar may surprise and reward @SushilModi as Chief Minister, considering his magnanimity and Himalayan patience ??",,,0,"1326669743864999936"
11/12/20 4:22 AM,"Jeevan Thapaliya ??","618823797","imbastola","281370672","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@imbastola @NitishKumar @BJP4Bihar Yes . Bihar JDU should give chance to BJP for CM.",,,0,"1326659194225782785"
11/12/20 3:34 AM,"Uma Kant Singh","72919562","umakantsingh_IN","72919562","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Don't be surprised if Nitish Kumar made Railway Minister, Sushil Modi Finance Minister in Modi cabinet,and Nityanand Rai CM of Bihar, because BJP has to trample all three, JDU,RJD and Congress in Bihar! #kunalkamra #BiharResults #UddhavThackeray",,,0,"1326647038704975872"
11/12/20 3:06 AM,"?????","75228685","_QuantumParadox","1289980836356321280","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@_PrakharSinha @DranitaBenjamin @narendramodi @AmitShah @JPNadda @NitishKumar @IsaiRegd @BJP4Bihar @rsprasad On what basis?JDU won 43 seats only! out of 130 (I guess) even Ajay Alok was against the policies by central leadership n central govt.BJP must take the leadership in Bihar nw, its high time.#NitishKumar hs time n again threatened,see the result nw anyways it was last elctn",,,0,"1326639896434515968"
11/12/20 2:11 AM,"Uttam | ????? | ?????","123241181","NitishKumar","143409075","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@NitishKumar @indiantweeter @narendramodi Appreciate your hard work, put all efforts to achieve more for bihar, personally, I believe you must merge JDU with BJP to place full stop on conflict between two seperate entities, if any.
It will open opportunity for JDU to play larger role and contribute at PAN India",,,0,"1326626004756934656"
11/12/20 2:10 AM,"??? ?????? ???????","61859409",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","So Nitish will be the CM...again

https://t.co/Y0ExKhjZol",,,0,"1326625900327137280"
11/12/20 1:56 AM,"Uma Kant Singh","72919562",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Narendra Modi has lost Bihar,how it to be called victory of PM with +3, in fact there was silent Operation Nitish, he was not going to get 10 even,but4 my war on social media, that woke up silent voters,made JDU cadres energized,changed media narrative?#BiharResults #ArnabIsBack",,,0,"1326622392806825984"
11/12/20 1:10 AM,"Mukesh Singh","896407248162791424","VikasSaraswat","131791334","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@VikasSaraswat @narendramodi @AmitShah @JPNadda @NitishKumar @SushilModi @sanjayjaiswalMP
@BJP4India and JDU did not get enough votes in the first phase of Bihar polls only because of the upsetting Munger firing and brutal killing. Silence of NDA leaders further angered the public. Justice???",,,0,"1326610676907974656"
11/12/20 12:59 AM,"Mohit Soni","2464120406",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Well done Laxmii.. You beat SOTY 2 by a huge margin.. Almost like the Hilsa constituency in Bihar where #JDU beat #RJD by 12 votes.. ??
#Laxmii #BiharElectionResults2020 #Hilsa https://t.co/sp5Z30WHpL",,,0,"1326608029354061824"
11/12/20 12:50 AM,"Bhatnagar","1156608347560280065",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","What BJP did to JDU in #Bihar using #ChiragPaswan is exactly same what Pawar's NCP has been ensuring for #Shivsena for a long time now using @MumbaiPolice. ??

#Arnab #PublicRelations",,,0,"1326605775888764929"
11/12/20 12:45 AM,"Anurag Parihar","1492155438","iVasuKapoor","2207342274","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@iVasuKapoor @mkatju RJD or JDU or BJP or INC or LEFT parties, everybody in Bihar plays the caste and religion card. Problem is the way politics is played not the winner or looser.",,,0,"1326604366694936576"
11/12/20 12:32 AM,"Roych","3313288903","AmitShah","1447949844","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@AmitShah @narendramodi @JPNadda @BJP4India Congratulations ? to BJP, JDU and leadership.  Wish people of Bihar a prosperous 5 years. CM and team should focus utilising , man power resources of Bihar. Bihar can have heavy engineering hub ,Sports hub, education hub , tourism, Budhgaya can attack Japan investment.",,,0,"1326601169624469504"
11/12/20 12:29 AM,"Pratimaan Priyam","724271179","martinv17","118611581","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@martinv17 @rahulkanwal @JPNadda Winning after 15 years of Anti Incumbency,  Corona Crisis which has rattled the world has impacted everyone. Bihar was also not untouched.Tejaswi would be nothing if his parent were not the CMs of Bihar . Intact MY votes . LJP damaged JDU and somewhere BJP too (23 seats directly)",,,0,"1326600361449189377"
