"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/11/20 8:53 PM,"barkha dutt","19929890",,"-1","en","<a href='https://studio.twitter.com' rel='nofollow'>Twitter Media Studio</a>","'Congress wants that I should organise Mushairas, Biryani Feasts & Iftars. That is their idea of a Muslim. They're too incompetent to take on BJP'- @asadowaisi stinging rebuttal on @themojo_in to charge that he cut their votes in #Bihar. Full intvw here: https://t.co/yD0hMqThfS https://t.co/fU4fb77nfg",,,639,"1326546087973253120"
11/11/20 12:29 AM,"Anshul Saxena","318673863",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bihar election:

1. Left parties contested on 29 seats and Congress contested on 70 seats. Result: Left is stronger than Congress in Bihar.

2. Owaisi's AIMIM is gradually growing in Bihar.

3. Shiv Sena lost all 22 seats & received less votes than NOTA in most constituencies.",,,1579,"1326238020710772736"
11/11/20 10:06 AM,"Sanjay Jha","50943008",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","The Congress should stop criticising Mr Owaisi; it is a bizarre argument. His AIMIM has won 5 seats in Bihar. It is filling a vacant space. Please respect people’s verdict. Now even the Muslims are rejecting the Congress. They don’t trust it anymore. 

Smell the coffee!",,,297,"1326383221613993984"
11/14/20 4:51 AM,"News8Plus","1216824204013654016",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","To sack in Bihar too; Congress without exception https://t.co/zX4rTQabi7",,,0,"1327391221153624064"
11/14/20 4:45 AM,"Times of News","1045994888909606912",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","Post Bihar, Congress may find it difficult in bargains for seats https://t.co/725H5QJwTn",,,0,"1327389679222743041"
11/14/20 3:34 AM,"Kaushik Saha??","61544465",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","After Bihar election: Congress leaders engage in fist fight, verbal abuse in major showdown https://t.co/tr5ma8tcIZ via OpIndia_com",,,0,"1327371678037340161"
11/14/20 3:01 AM,"Dheeraj kumar Bhardwaj","129277080","ANI","355989081","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@ANI Listen and see the language of sadaqat echoes the walls of sadaqat ashram, HQ of Bihar congress",,,0,"1327363474905726976"
11/14/20 2:58 AM,"Rajneeti News","1262253636",,"-1","en","<a href='http://www.rajneeti.news' rel='nofollow'>Rajneeti News</a>","Rajneeti News (Bihar election proves Congress now a burden on state allies like Tejashwi Yadav)  

                    Throughout the marketing campaign, Rahul Gandhi saved asserting that China had humiliated India in ... has been published on Rajneeti News - ...",,,0,"1327362763312803846"
11/14/20 2:57 AM,"Dheeraj kumar Bhardwaj","129277080","ANI","355989081","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@ANI Congress will break in bihar and join NDA government",,,0,"1327362510954000384"
11/14/20 2:56 AM,"News8Plus","1216824204013654016",,"-1","en","<a href='http://publicize.wp.com/' rel='nofollow'>WordPress.com</a>","To sack in Bihar too; Congress without exception https://t.co/84sLfXxnRS",,,0,"1327362322311090176"
