"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/11/20 8:53 PM,"barkha dutt","19929890",,"-1","en","<a href='https://studio.twitter.com' rel='nofollow'>Twitter Media Studio</a>","'Congress wants that I should organise Mushairas, Biryani Feasts & Iftars. That is their idea of a Muslim. They're too incompetent to take on BJP'- @asadowaisi stinging rebuttal on @themojo_in to charge that he cut their votes in #Bihar. Full intvw here: https://t.co/yD0hMqThfS https://t.co/fU4fb77nfg",,,639,"1326546087973253120"
11/11/20 12:29 AM,"Anshul Saxena","318673863",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bihar election:

1. Left parties contested on 29 seats and Congress contested on 70 seats. Result: Left is stronger than Congress in Bihar.

2. Owaisi's AIMIM is gradually growing in Bihar.

3. Shiv Sena lost all 22 seats & received less votes than NOTA in most constituencies.",,,1579,"1326238020710772736"
11/11/20 10:06 AM,"Sanjay Jha","50943008",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","The Congress should stop criticising Mr Owaisi; it is a bizarre argument. His AIMIM has won 5 seats in Bihar. It is filling a vacant space. Please respect people’s verdict. Now even the Muslims are rejecting the Congress. They don’t trust it anymore. 

Smell the coffee!",,,297,"1326383221613993984"
11/12/20 5:29 AM,"Michael Mahanta","3145777944",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","From Tejashwi turning a 'coming-of-age leader & heralding a new era in Bihar' to '5 reasons why he lost the Bihar battle' we all realize Congress' rock bottom just got rockier so much so that even Modi haters replaced Rahul with Tejashwi as their 'next-gen' leader!
#BiharResults",,,0,"1326676025556701184"
11/12/20 5:19 AM,"paresh","136782937","ANSHUBAJPAI1","951083996","en","<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>","@ANSHUBAJPAI1 @RahulGandhi @KamalaHarris Bihar showed who is blunder slapping on congress face",,,0,"1326673314262167552"
11/12/20 5:16 AM,"Zurhan","912893469403828225",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","The Congress will show a smiling face and the BJP will show a horror face in disrupting equality among the people. These two parties are two faces of a coin. 
- @asadowaisi 

#OwaisiIsOurPride #BiharElectionResults2020 #BiharElections #BiharElection #BiharElectionResults #Bihar https://t.co/9yb5O6TFwf",,,0,"1326672621652488193"
11/12/20 5:14 AM,"paresh","136782937","RahulGandhi","3171712086","en","<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>","@RahulGandhi @KamalaHarris Have courtesy to congratulate Bihar election winner too  and Arnab who was harassed by your government in Maharashtra- shame to you and a big slap to congress and soniasena by people of India and Supreme Court",,,0,"1326672057241903109"
11/12/20 5:12 AM,"Spartan ?","1301583266043047939",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Performance of Congress :
19/70 in Bihar
0/8 in Gujarat
9/28 in MP
0/2 in Karnataka
0/7 in UP
0/4 in Manipur 
But scapegoat is owaisi ?even Muslims abusing him but they can't question Congress, it's kind of spineless behaviour? or slavery for that party which did nothing 4 them.",,,0,"1326671567712120832"
11/12/20 5:07 AM,"Joy Jagpreet Singh","99345516","radhacharandas","314398195","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@radhacharandas Well said. But I keep saying that the major brunt of losing in Bihar falls on the shoulders of congress which is the primary opposition party at least for now and the shoulders of news media which is pretty much non existent now. Lack of adequate congress' performance is alarming",,,0,"1326670356841521153"
11/12/20 4:54 AM,"Victor Dhawan","706906862315315201","KreatelyMedia","1269723970405875712","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@KreatelyMedia Anti national parties @INCIndia and RJD @yadavtejashwi have allowed Lal Salam to grow in #Bihar by giving them so many seats otherwise was to have been won by Congress. For that dangerous act alone, Congress and RJD deserve to be defeated and wiped off political map.",,,1,"1326667056566169603"
