"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/11/20 10:22 AM,"ANI","355989081",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Bihar: Posters put up outside BJP office in Patna after NDA registered a victory in #BiharElections 

NDA won 125 seats in the state Assembly Polls (BJP 74, JDU 43, VIP 4 and HAM 4) https://t.co/HsihiFUhYH",,,93,"1326387301409304579"
11/12/20 2:34 PM,"Swarajya","2451476942",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","Self-Goal: Shiv Sena Says Giving CM Post To Nitish In Bihar Despite JD(U) Finishing Third Is An “Insult To Democracy”

https://t.co/Ak4hfA0V97",,,158,"1326813081809412096"
11/11/20 6:57 AM,"ANI","355989081",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Bihar: Posters put up in Patna following the victory of CM Nitish Kumar led NDA in the state. 

NDA won 125 seats of which 74 & 43 seats have been won by BJP & JDU, respectively. https://t.co/NKNNRhKWid",,,92,"1326335635376861185"
11/14/20 5:26 AM,"Support youth","279881128","ZeeBiharNews","2207369551","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@ZeeBiharNews Jdu now 0 in bihar .....  @nishikant_dubey big party in bgp.",,,0,"1327399873696526336"
11/14/20 1:53 AM,"Amit Agarwal","736792681",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","i think there was a deeper planning of BJP+JDU+LJP to manage the anger of people of bihar against Nitish Kumar. It was setup in which JDU was also involved. LJP was only to hold angry voter from #RJD. @HarshVardhanTri",,,0,"1327346390708711425"
11/14/20 1:32 AM,"Uma Kant Singh","72919562","umakantsingh_IN","72919562","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","And it was pre-planned, Chirag Paswan was to hit at Nitish Kumar, reducing JDU, Tejashwi was to be silent on Modi, making BJP Bihar gain high, dalal media was to plant helicopter wave of Tejashwi to silence Congress, Pappu Yadav,Upendra Kushwaha!",,,0,"1327341109580730368"
11/14/20 1:21 AM,"NDTV Videos","249643872",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","#TheBigFight | 'There is a new phenomenon in Bihar that is politics of animosity': KC Tyagi, leader, JDU

#BiharElections2020

https://t.co/jAglLCQsvG",,,1,"1327338247698010112"
11/14/20 1:17 AM,"shantanu_leo","52282814",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bihar elections 2020 may well signal the end of the JDU and it's EBC voter base",,,0,"1327337310518607873"
11/14/20 12:43 AM,"Archan Gowda","135098069","Bhau2020","127000055","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@Bhau2020 @MehekF And BJP has not won a single assembly elections since 2018, And now Bihar with the help of ECI-EVM-JDU.",,,0,"1327328874464636929"
11/14/20 12:42 AM,"Prateek Singh","164582768","riksviks","164582768","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","3. Why Congress and other regional parties couldn’t shine is purely because they failed amidst pandemic.
4. Leaving dismal performance by Congress in Bihar, it’s purely loss for JDU. Shrunk vote share compensated by BJP’s good performance and could just manage to win",,,0,"1327328595312742400"
