"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
11/12/20 5:29 AM,"SonaliRanade","12716032",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Asadududdin Owaisi: RJD, Cong kept silent on CAA, NRC, said will help BJP. The results are in front of you; Are Muslims only voting machines?; https://t.co/uCqno4kGTL 

Prudent politics is one thing, reneging on a Constitutional promise is a new level of betrayal.",,,9,"1326675855066734594"
11/12/20 5:26 AM,"?????????","1294535529992720386","takshSp18","1306225329682485249","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@takshSp18 @LearningSoul_ @pushpampc13 Why you don't things this is the drama run by cong and rjd
But not on just 400 ie more than that",,,0,"1326675139908435968"
11/12/20 5:25 AM,"Sinned for asking 'it'","1596376338","AngieTribecca","70617758","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@AngieTribecca Too much woke posting. Kanye is nothing but an entertainer while owaisi is a  career politician. His party promised the welfare of minority communities and people saw merit in it. It's rich of congress & RJD to virtue signal that only they're the palanquins of minorities.",,,0,"1326674871762317313"
11/12/20 5:20 AM,"Shubhang","490092753","BunnySush","101437024","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","@BunnySush @AasthaDJain Awww .... Here comes the liberal who was three cheering up rjd win in bihar and talks about taking moral high ground and right way of doing things....
Do you know your favourite ravish's brother is involved in sex racket here ?ironical isn't it ..Bol hypocrisy ki bhi _ hoti hai",,,0,"1326673797399900160"
11/12/20 5:17 AM,"Santosh Singh","1512202530",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","Bihar: 12 seats short, RJD sends out feelers to smaller parties https://t.co/8XkEEKGakI via @IndianExpress",,,2,"1326673032580980736"
11/12/20 5:15 AM,"Desi Sangría","1203076919673196545","sumanthraman","54436268","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","@sumanthraman @yadavtejashwi He damaged his father's vote bank, RJD lost a big vote bank as compared to 2015

But Lol Salaam jokers see this an achievement",,,0,"1326672516442632192"
11/12/20 5:04 AM,"The Indian Express","38647512",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","Bihar election results: 1st to 3rd phase, BJP made up for lost ground, RJD slipped

https://t.co/3y0gX5CYUq",,,2,"1326669550264352768"
11/12/20 4:54 AM,"Victor Dhawan","706906862315315201","KreatelyMedia","1269723970405875712","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@KreatelyMedia Anti national parties @INCIndia and RJD @yadavtejashwi have allowed Lal Salam to grow in #Bihar by giving them so many seats otherwise was to have been won by Congress. For that dangerous act alone, Congress and RJD deserve to be defeated and wiped off political map.",,,1,"1326667056566169603"
11/12/20 4:51 AM,"Q","2985922832","prasannavishy","29398579","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@prasannavishy Kinda good instead of a ‘secular’ facade of a Congress/RJD/JD candidate. Fruits of a ‘secular’ partition presided by Cha-cha Nehru & Bapoo.",,,0,"1326666433191792640"
11/12/20 4:50 AM,"SURJIT JABBAL","146837017","JABBALSURJIT","146837017","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","NDA and upa are just ALLAINCE PARTY FABRICTED WITH DALBADLUS BJP CONGRESS RJD LJP CPI AND AIIM ARE THE PARTIES FAUGHT ELECTION IN DIFFERENT SYMBOLS THUS SINGE LARGEST PARTY OF RJD OF BIHAR IS THE WINNER AND THEY MUST BE CALLED FIRST",,,0,"1326666029502783492"
